 time            v(in)           v(out_a)        v(out_b)       
 8.48276779e-03  5.00000000e+00  4.99718529e+00  4.48207208e+00 
 8.49276779e-03  5.00000000e+00  4.99721330e+00  4.48363919e+00 
 8.50276779e-03  5.00000000e+00  4.99724103e+00  4.48520155e+00 
 8.51276779e-03  5.00000000e+00  4.99726848e+00  4.48675919e+00 
 8.52276779e-03  5.00000000e+00  4.99729566e+00  4.48831211e+00 
 8.53276779e-03  5.00000000e+00  4.99732257e+00  4.48986033e+00 
 8.54276779e-03  5.00000000e+00  4.99734921e+00  4.49140387e+00 
 8.55276779e-03  5.00000000e+00  4.99737559e+00  4.49294274e+00 
 8.56276779e-03  5.00000000e+00  4.99740170e+00  4.49447695e+00 
 8.57276779e-03  5.00000000e+00  4.99742755e+00  4.49600652e+00 
 8.58276779e-03  5.00000000e+00  4.99745315e+00  4.49753147e+00 
 8.59276779e-03  5.00000000e+00  4.99747849e+00  4.49905179e+00 
 8.60276779e-03  5.00000000e+00  4.99750358e+00  4.50056752e+00 
 8.61276779e-03  5.00000000e+00  4.99752842e+00  4.50207866e+00 
 8.62276779e-03  5.00000000e+00  4.99755301e+00  4.50358523e+00 
 8.63276779e-03  5.00000000e+00  4.99757736e+00  4.50508725e+00 
 8.64276779e-03  5.00000000e+00  4.99760147e+00  4.50658471e+00 
 8.65276779e-03  5.00000000e+00  4.99762533e+00  4.50807765e+00 
 8.66276779e-03  5.00000000e+00  4.99764896e+00  4.50956607e+00 
 8.67276779e-03  5.00000000e+00  4.99767236e+00  4.51104998e+00 
 8.68276779e-03  5.00000000e+00  4.99769552e+00  4.51252941e+00 
 8.69276779e-03  5.00000000e+00  4.99771845e+00  4.51400436e+00 
 8.70276779e-03  5.00000000e+00  4.99774115e+00  4.51547484e+00 
 8.71276779e-03  5.00000000e+00  4.99776362e+00  4.51694088e+00 
 8.72276779e-03  5.00000000e+00  4.99778588e+00  4.51840248e+00 
 8.73276779e-03  5.00000000e+00  4.99780791e+00  4.51985966e+00 
 8.74276779e-03  5.00000000e+00  4.99782972e+00  4.52131243e+00 
 8.75276779e-03  5.00000000e+00  4.99785132e+00  4.52276080e+00 
 8.76276779e-03  5.00000000e+00  4.99787270e+00  4.52420479e+00 
 8.77276779e-03  5.00000000e+00  4.99789386e+00  4.52564442e+00 
 8.78276779e-03  5.00000000e+00  4.99791482e+00  4.52707968e+00 
 8.79276779e-03  5.00000000e+00  4.99793557e+00  4.52851061e+00 
 8.80276779e-03  5.00000000e+00  4.99795611e+00  4.52993720e+00 
 8.81276779e-03  5.00000000e+00  4.99797645e+00  4.53135948e+00 
 8.82276779e-03  5.00000000e+00  4.99799658e+00  4.53277745e+00 
 8.83276779e-03  5.00000000e+00  4.99801652e+00  4.53419114e+00 
 8.84276779e-03  5.00000000e+00  4.99803625e+00  4.53560054e+00 
 8.85276779e-03  5.00000000e+00  4.99805579e+00  4.53700569e+00 
