 time            v(in)           v(out)          i(V1)          
 1.65398500e-02  0.00000000e+00  3.86568092e-05  3.86568092e-08 
 1.65498500e-02  0.00000000e+00  3.78913279e-05  3.78913279e-08 
 1.65598500e-02  0.00000000e+00  3.71410045e-05  3.71410045e-08 
 1.65698500e-02  0.00000000e+00  3.64055391e-05  3.64055391e-08 
 1.65798500e-02  0.00000000e+00  3.56846373e-05  3.56846373e-08 
 1.65898500e-02  0.00000000e+00  3.49780109e-05  3.49780109e-08 
 1.65998500e-02  0.00000000e+00  3.42853770e-05  3.42853770e-08 
 1.66098500e-02  0.00000000e+00  3.36064586e-05  3.36064586e-08 
 1.66198500e-02  0.00000000e+00  3.29409842e-05  3.29409842e-08 
 1.66298500e-02  0.00000000e+00  3.22886875e-05  3.22886875e-08 
 1.66398500e-02  0.00000000e+00  3.16493075e-05  3.16493075e-08 
 1.66498500e-02  0.00000000e+00  3.10225886e-05  3.10225886e-08 
 1.66598500e-02  0.00000000e+00  3.04082799e-05  3.04082799e-08 
 1.66698500e-02  0.00000000e+00  2.98061357e-05  2.98061357e-08 
 1.66798500e-02  0.00000000e+00  2.92159152e-05  2.92159152e-08 
 1.66898500e-02  0.00000000e+00  2.86373822e-05  2.86373822e-08 
 1.66998500e-02  0.00000000e+00  2.80703054e-05  2.80703054e-08 
 1.67098500e-02  0.00000000e+00  2.75144577e-05  2.75144577e-08 
 1.67198500e-02  0.00000000e+00  2.69696170e-05  2.69696170e-08 
 1.67298500e-02  0.00000000e+00  2.64355652e-05  2.64355652e-08 
 1.67398500e-02  0.00000000e+00  2.59120886e-05  2.59120886e-08 
 1.67498500e-02  0.00000000e+00  2.53989780e-05  2.53989780e-08 
 1.67598500e-02  0.00000000e+00  2.48960279e-05  2.48960279e-08 
 1.67698500e-02  0.00000000e+00  2.44030373e-05  2.44030373e-08 
 1.67798500e-02  0.00000000e+00  2.39198088e-05  2.39198088e-08 
 1.67898500e-02  0.00000000e+00  2.34461492e-05  2.34461492e-08 
 1.67998500e-02  0.00000000e+00  2.29818690e-05  2.29818690e-08 
 1.68098500e-02  0.00000000e+00  2.25267825e-05  2.25267825e-08 
 1.68198500e-02  0.00000000e+00  2.20807076e-05  2.20807076e-08 
 1.68298500e-02  0.00000000e+00  2.16434659e-05  2.16434659e-08 
 1.68398500e-02  0.00000000e+00  2.12148824e-05  2.12148824e-08 
 1.68498500e-02  0.00000000e+00  2.07947857e-05  2.07947857e-08 
 1.68598500e-02  0.00000000e+00  2.03830078e-05  2.03830078e-08 
 1.68698500e-02  0.00000000e+00  1.99793839e-05  1.99793839e-08 
 1.68798500e-02  0.00000000e+00  1.95837525e-05  1.95837525e-08 
 1.68898500e-02  0.00000000e+00  1.91959554e-05  1.91959554e-08 
 1.68998500e-02  0.00000000e+00  1.88158375e-05  1.88158375e-08 
 1.69098500e-02  0.00000000e+00  1.84432467e-05  1.84432467e-08 
 1.69198500e-02  0.00000000e+00  1.80780338e-05  1.80780338e-08 
 1.69298500e-02  0.00000000e+00  1.77200530e-05  1.77200530e-08 
 1.69398500e-02  0.00000000e+00  1.73691608e-05  1.73691608e-08 
 1.69498500e-02  0.00000000e+00  1.70252171e-05  1.70252171e-08 
 1.69598500e-02  0.00000000e+00  1.66880841e-05  1.66880841e-08 
 1.69698500e-02  0.00000000e+00  1.63576269e-05  1.63576269e-08 
 1.69798500e-02  0.00000000e+00  1.60337135e-05  1.60337135e-08 
 1.69898500e-02  0.00000000e+00  1.57162143e-05  1.57162143e-08 
 1.69998500e-02  0.00000000e+00  1.54050021e-05  1.54050021e-08 
 1.70098500e-02  0.00000000e+00  1.50999525e-05  1.50999525e-08 
 1.70198500e-02  0.00000000e+00  1.48009436e-05  1.48009436e-08 
 1.70298500e-02  0.00000000e+00  1.45078556e-05  1.45078556e-08 
 1.70398500e-02  0.00000000e+00  1.42205713e-05  1.42205713e-08 
 1.70498500e-02  0.00000000e+00  1.39389759e-05  1.39389759e-08 
 1.70598500e-02  0.00000000e+00  1.36629565e-05  1.36629565e-08 
 1.70698500e-02  0.00000000e+00  1.33924029e-05  1.33924029e-08 
 1.70798500e-02  0.00000000e+00  1.31272068e-05  1.31272068e-08 
 1.70898500e-02  0.00000000e+00  1.28672621e-05  1.28672621e-08 
 1.70998500e-02  0.00000000e+00  1.26124649e-05  1.26124649e-08 
 1.71098500e-02  0.00000000e+00  1.23627131e-05  1.23627131e-08 
 1.71198500e-02  0.00000000e+00  1.21179069e-05  1.21179069e-08 
 1.71298500e-02  0.00000000e+00  1.18779483e-05  1.18779483e-08 
 1.71398500e-02  0.00000000e+00  1.16427414e-05  1.16427414e-08 
 1.71498500e-02  0.00000000e+00  1.14121921e-05  1.14121921e-08 
 1.71598500e-02  0.00000000e+00  1.11862081e-05  1.11862081e-08 
 1.71698500e-02  0.00000000e+00  1.09646990e-05  1.09646990e-08 
 1.71798500e-02  0.00000000e+00  1.07475763e-05  1.07475763e-08 
 1.71898500e-02  0.00000000e+00  1.05347530e-05  1.05347530e-08 
 1.71998500e-02  0.00000000e+00  1.03261440e-05  1.03261440e-08 
 1.72098500e-02  0.00000000e+00  1.01216659e-05  1.01216659e-08 
 1.72198500e-02  0.00000000e+00  9.92123690e-06  9.92123690e-09 
 1.72298500e-02  0.00000000e+00  9.72477676e-06  9.72477676e-09 
 1.72398500e-02  0.00000000e+00  9.53220692e-06  9.53220692e-09 
 1.72498500e-02  0.00000000e+00  9.34345035e-06  9.34345035e-09 
 1.72598500e-02  0.00000000e+00  9.15843153e-06  9.15843153e-09 
 1.72698500e-02  0.00000000e+00  8.97707645e-06  8.97707645e-09 
 1.72798500e-02  0.00000000e+00  8.79931256e-06  8.79931256e-09 
 1.72898500e-02  0.00000000e+00  8.62506875e-06  8.62506875e-09 
 1.72998500e-02  0.00000000e+00  8.45427531e-06  8.45427531e-09 
 1.73098500e-02  0.00000000e+00  8.28686391e-06  8.28686391e-09 
 1.73198500e-02  0.00000000e+00  8.12276760e-06  8.12276760e-09 
 1.73298500e-02  0.00000000e+00  7.96192072e-06  7.96192072e-09 
 1.73398500e-02  0.00000000e+00  7.80425892e-06  7.80425892e-09 
 1.73498500e-02  0.00000000e+00  7.64971914e-06  7.64971914e-09 
 1.73598500e-02  0.00000000e+00  7.49823955e-06  7.49823955e-09 
 1.73698500e-02  0.00000000e+00  7.34975956e-06  7.34975956e-09 
 1.73798500e-02  0.00000000e+00  7.20421977e-06  7.20421977e-09 
 1.73898500e-02  0.00000000e+00  7.06156195e-06  7.06156195e-09 
 1.73998500e-02  0.00000000e+00  6.92172904e-06  6.92172904e-09 
 1.74098500e-02  0.00000000e+00  6.78466510e-06  6.78466510e-09 
 1.74198500e-02  0.00000000e+00  6.65031530e-06  6.65031530e-09 
 1.74298500e-02  0.00000000e+00  6.51862588e-06  6.51862588e-09 
 1.74398500e-02  0.00000000e+00  6.38954418e-06  6.38954418e-09 
 1.74498500e-02  0.00000000e+00  6.26301856e-06  6.26301856e-09 
 1.74598500e-02  0.00000000e+00  6.13899839e-06  6.13899839e-09 
 1.74698500e-02  0.00000000e+00  6.01743406e-06  6.01743406e-09 
 1.74798500e-02  0.00000000e+00  5.89827695e-06  5.89827695e-09 
 1.74898500e-02  0.00000000e+00  5.78147939e-06  5.78147939e-09 
 1.74998500e-02  0.00000000e+00  5.66699465e-06  5.66699465e-09 
 1.75098500e-02  0.00000000e+00  5.55477693e-06  5.55477693e-09 
 1.75198500e-02  0.00000000e+00  5.44478135e-06  5.44478135e-09 
 1.75298500e-02  0.00000000e+00  5.33696390e-06  5.33696390e-09 
 1.75398500e-02  0.00000000e+00  5.23128144e-06  5.23128144e-09 
 1.75498500e-02  0.00000000e+00  5.12769171e-06  5.12769171e-09 
 1.75598500e-02  0.00000000e+00  5.02615326e-06  5.02615326e-09 
 1.75698500e-02  0.00000000e+00  4.92662547e-06  4.92662547e-09 
 1.75798500e-02  0.00000000e+00  4.82906853e-06  4.82906853e-09 
 1.75898500e-02  0.00000000e+00  4.73344342e-06  4.73344342e-09 
 1.75998500e-02  0.00000000e+00  4.63971186e-06  4.63971186e-09 
 1.76098500e-02  0.00000000e+00  4.54783638e-06  4.54783638e-09 
 1.76198500e-02  0.00000000e+00  4.45778021e-06  4.45778021e-09 
 1.76298500e-02  0.00000000e+00  4.36950734e-06  4.36950734e-09 
 1.76398500e-02  0.00000000e+00  4.28298244e-06  4.28298244e-09 
 1.76498500e-02  0.00000000e+00  4.19817091e-06  4.19817091e-09 
 1.76598500e-02  0.00000000e+00  4.11503881e-06  4.11503881e-09 
 1.76698500e-02  0.00000000e+00  4.03355289e-06  4.03355289e-09 
 1.76798500e-02  0.00000000e+00  3.95368056e-06  3.95368056e-09 
 1.76898500e-02  0.00000000e+00  3.87538985e-06  3.87538985e-09 
 1.76998500e-02  0.00000000e+00  3.79864946e-06  3.79864946e-09 
 1.77098500e-02  0.00000000e+00  3.72342868e-06  3.72342868e-09 
 1.77198500e-02  0.00000000e+00  3.64969742e-06  3.64969742e-09 
 1.77298500e-02  0.00000000e+00  3.57742618e-06  3.57742618e-09 
