 v-sweep         v(a)            v(y)           
 1.09000000e+00  1.09000000e+00  3.24543941e+00 
 1.10000000e+00  1.10000000e+00  3.24215877e+00 
 1.11000000e+00  1.11000000e+00  3.23875129e+00 
 1.12000000e+00  1.12000000e+00  3.23521347e+00 
 1.13000000e+00  1.13000000e+00  3.23154160e+00 
 1.14000000e+00  1.14000000e+00  3.22773183e+00 
 1.15000000e+00  1.15000000e+00  3.22378009e+00 
 1.16000000e+00  1.16000000e+00  3.21968212e+00 
 1.17000000e+00  1.17000000e+00  3.21543344e+00 
 1.18000000e+00  1.18000000e+00  3.21102933e+00 
 1.19000000e+00  1.19000000e+00  3.20646481e+00 
 1.20000000e+00  1.20000000e+00  3.20173463e+00 
 1.21000000e+00  1.21000000e+00  3.19683326e+00 
 1.22000000e+00  1.22000000e+00  3.19175484e+00 
 1.23000000e+00  1.23000000e+00  3.18649315e+00 
 1.24000000e+00  1.24000000e+00  3.18104162e+00 
 1.25000000e+00  1.25000000e+00  3.17539324e+00 
 1.26000000e+00  1.26000000e+00  3.16954060e+00 
 1.27000000e+00  1.27000000e+00  3.16347577e+00 
 1.28000000e+00  1.28000000e+00  3.15719030e+00 
 1.29000000e+00  1.29000000e+00  3.15067515e+00 
 1.30000000e+00  1.30000000e+00  3.14392066e+00 
 1.31000000e+00  1.31000000e+00  3.13691645e+00 
 1.32000000e+00  1.32000000e+00  3.12965136e+00 
 1.33000000e+00  1.33000000e+00  3.12211336e+00 
 1.34000000e+00  1.34000000e+00  3.11428948e+00 
 1.35000000e+00  1.35000000e+00  3.10616564e+00 
 1.36000000e+00  1.36000000e+00  3.09772659e+00 
 1.37000000e+00  1.37000000e+00  3.08895572e+00 
 1.38000000e+00  1.38000000e+00  3.07983487e+00 
 1.39000000e+00  1.39000000e+00  3.07034418e+00 
 1.40000000e+00  1.40000000e+00  3.06046179e+00 
 1.41000000e+00  1.41000000e+00  3.05016359e+00 
 1.42000000e+00  1.42000000e+00  3.03942288e+00 
 1.43000000e+00  1.43000000e+00  3.02820992e+00 
 1.44000000e+00  1.44000000e+00  3.01649149e+00 
 1.45000000e+00  1.45000000e+00  3.00423020e+00 
 1.46000000e+00  1.46000000e+00  2.99138382e+00 
 1.47000000e+00  1.47000000e+00  2.97790428e+00 
 1.48000000e+00  1.48000000e+00  2.96373649e+00 
 1.49000000e+00  1.49000000e+00  2.94881683e+00 
 1.50000000e+00  1.50000000e+00  2.93307113e+00 
 1.51000000e+00  1.51000000e+00  2.91641211e+00 
 1.52000000e+00  1.52000000e+00  2.89873585e+00 
 1.53000000e+00  1.53000000e+00  2.87991692e+00 
 1.54000000e+00  1.54000000e+00  2.85980169e+00 
 1.55000000e+00  1.55000000e+00  2.83819846e+00 
 1.56000000e+00  1.56000000e+00  2.81486282e+00 
 1.57000000e+00  1.57000000e+00  2.78947477e+00 
 1.58000000e+00  1.58000000e+00  2.76160136e+00 
 1.59000000e+00  1.59000000e+00  2.73063153e+00 
 1.60000000e+00  1.60000000e+00  2.69565291e+00 
 1.61000000e+00  1.61000000e+00  2.65519204e+00 
 1.62000000e+00  1.62000000e+00  2.60657127e+00 
 1.63000000e+00  1.63000000e+00  2.54385456e+00 
 1.64000000e+00  1.64000000e+00  2.44240540e+00 
 1.65000000e+00  1.65000000e+00  1.65000000e+00 
 1.66000000e+00  1.66000000e+00  8.57683749e-01 
 1.67000000e+00  1.67000000e+00  7.56459123e-01 
 1.68000000e+00  1.68000000e+00  6.93529853e-01 
 1.69000000e+00  1.69000000e+00  6.44582695e-01 
 1.70000000e+00  1.70000000e+00  6.04277110e-01 
 1.71000000e+00  1.71000000e+00  5.69347693e-01 
 1.72000000e+00  1.72000000e+00  5.38389178e-01 
 1.73000000e+00  1.73000000e+00  5.10520352e-01 
 1.74000000e+00  1.74000000e+00  4.85134470e-01 
 1.75000000e+00  1.75000000e+00  4.61799921e-01 
 1.76000000e+00  1.76000000e+00  4.40197292e-01 
 1.77000000e+00  1.77000000e+00  4.20082412e-01 
 1.78000000e+00  1.78000000e+00  4.01263700e-01 
 1.79000000e+00  1.79000000e+00  3.83587567e-01 
 1.80000000e+00  1.80000000e+00  3.66928641e-01 
 1.81000000e+00  1.81000000e+00  3.51183003e-01 
 1.82000000e+00  1.82000000e+00  3.36263378e-01 
 1.83000000e+00  1.83000000e+00  3.22095620e-01 
 1.84000000e+00  1.84000000e+00  3.08616102e-01 
 1.85000000e+00  1.85000000e+00  2.95769741e-01 
 1.86000000e+00  1.86000000e+00  2.83508468e-01 
 1.87000000e+00  1.87000000e+00  2.71790038e-01 
 1.88000000e+00  1.88000000e+00  2.60577089e-01 
 1.89000000e+00  1.89000000e+00  2.49836381e-01 
 1.90000000e+00  1.90000000e+00  2.39538189e-01 
 1.91000000e+00  1.91000000e+00  2.29655802e-01 
 1.92000000e+00  1.92000000e+00  2.20165111e-01 
 1.93000000e+00  1.93000000e+00  2.11044267e-01 
 1.94000000e+00  1.94000000e+00  2.02273394e-01 
 1.95000000e+00  1.95000000e+00  1.93834349e-01 
 1.96000000e+00  1.96000000e+00  1.85710516e-01 
 1.97000000e+00  1.97000000e+00  1.77886632e-01 
 1.98000000e+00  1.98000000e+00  1.70348636e-01 
 1.99000000e+00  1.99000000e+00  1.63083545e-01 
 2.00000000e+00  2.00000000e+00  1.56079333e-01 
 2.01000000e+00  2.01000000e+00  1.49324844e-01 
 2.02000000e+00  2.02000000e+00  1.42809700e-01 
 2.03000000e+00  2.03000000e+00  1.36524228e-01 
 2.04000000e+00  2.04000000e+00  1.30459396e-01 
 2.05000000e+00  2.05000000e+00  1.24606754e-01 
 2.06000000e+00  2.06000000e+00  1.18958383e-01 
 2.07000000e+00  2.07000000e+00  1.13506848e-01 
 2.08000000e+00  2.08000000e+00  1.08245159e-01 
 2.09000000e+00  2.09000000e+00  1.03166734e-01 
 2.10000000e+00  2.10000000e+00  9.82653658e-02 
 2.11000000e+00  2.11000000e+00  9.35351926e-02 
 2.12000000e+00  2.12000000e+00  8.89706722e-02 
 2.13000000e+00  2.13000000e+00  8.45665579e-02 
 2.14000000e+00  2.14000000e+00  8.03178761e-02 
 2.15000000e+00  2.15000000e+00  7.62199074e-02 
 2.16000000e+00  2.16000000e+00  7.22681686e-02 
 2.17000000e+00  2.17000000e+00  6.84583961e-02 
 2.18000000e+00  2.18000000e+00  6.47865310e-02 
 2.19000000e+00  2.19000000e+00  6.12487061e-02 
 2.20000000e+00  2.20000000e+00  5.78412326e-02 
 2.21000000e+00  2.21000000e+00  5.45605892e-02 
 2.22000000e+00  2.22000000e+00  5.14034116e-02 
 2.23000000e+00  2.23000000e+00  4.83664825e-02 
 2.24000000e+00  2.24000000e+00  4.54467229e-02 
 2.25000000e+00  2.25000000e+00  4.26411837e-02 
 2.26000000e+00  2.26000000e+00  3.99470385e-02 
 2.27000000e+00  2.27000000e+00  3.73615760e-02 
 2.28000000e+00  2.28000000e+00  3.48821937e-02 
 2.29000000e+00  2.29000000e+00  3.25063918e-02 
 2.30000000e+00  2.30000000e+00  3.02317678e-02 
 2.31000000e+00  2.31000000e+00  2.80560109e-02 
 2.32000000e+00  2.32000000e+00  2.59768973e-02 
 2.33000000e+00  2.33000000e+00  2.39922856e-02 
 2.34000000e+00  2.34000000e+00  2.21001124e-02 
 2.35000000e+00  2.35000000e+00  2.02983887e-02 
 2.36000000e+00  2.36000000e+00  1.85851960e-02 
 2.37000000e+00  2.37000000e+00  1.69586824e-02 
 2.38000000e+00  2.38000000e+00  1.54170600e-02 
 2.39000000e+00  2.39000000e+00  1.39586015e-02 
 2.40000000e+00  2.40000000e+00  1.25816374e-02 
 2.41000000e+00  2.41000000e+00  1.12845532e-02 
 2.42000000e+00  2.42000000e+00  1.00657869e-02 
 2.43000000e+00  2.43000000e+00  8.92382673e-03 
 2.44000000e+00  2.44000000e+00  7.85720870e-03 
 2.45000000e+00  2.45000000e+00  6.86451465e-03 
 2.46000000e+00  2.46000000e+00  5.94437016e-03 
 2.47000000e+00  2.47000000e+00  5.09544264e-03 
 2.48000000e+00  2.48000000e+00  4.31643961e-03 
 2.49000000e+00  2.49000000e+00  3.60610694e-03 
 2.50000000e+00  2.50000000e+00  2.96322728e-03 
 2.51000000e+00  2.51000000e+00  2.38661857e-03 
 2.52000000e+00  2.52000000e+00  1.87513254e-03 
 2.53000000e+00  2.53000000e+00  1.42765341e-03 
 2.54000000e+00  2.54000000e+00  1.04309657e-03 
 2.55000000e+00  2.55000000e+00  7.20407349e-04 
 2.56000000e+00  2.56000000e+00  4.58559869e-04 
 2.57000000e+00  2.57000000e+00  2.56555924e-04 
 2.58000000e+00  2.58000000e+00  1.13423931e-04 
 2.59000000e+00  2.59000000e+00  2.82178279e-05 
 2.60000000e+00  2.60000000e+00  1.65009163e-08 
 2.61000000e+00  2.61000000e+00  1.71057290e-08 
 2.62000000e+00  2.62000000e+00  1.72395832e-08 
 2.63000000e+00  2.63000000e+00  1.71502589e-08 
 2.64000000e+00  2.64000000e+00  1.70618555e-08 
 2.65000000e+00  2.65000000e+00  1.69743588e-08 
 2.66000000e+00  2.66000000e+00  1.68877550e-08 
 2.67000000e+00  2.67000000e+00  1.68020303e-08 
 2.68000000e+00  2.68000000e+00  1.67171716e-08 
 2.69000000e+00  2.69000000e+00  1.66331657e-08 
 2.70000000e+00  2.70000000e+00  1.65499999e-08 
 2.71000000e+00  2.71000000e+00  1.64676616e-08 
 2.72000000e+00  2.72000000e+00  1.63861385e-08 
 2.73000000e+00  2.73000000e+00  1.63054186e-08 
 2.74000000e+00  2.74000000e+00  1.62254901e-08 
 2.75000000e+00  2.75000000e+00  1.61463413e-08 
 2.76000000e+00  2.76000000e+00  1.60679610e-08 
 2.77000000e+00  2.77000000e+00  1.59903380e-08 
 2.78000000e+00  2.78000000e+00  1.59134614e-08 
 2.79000000e+00  2.79000000e+00  1.58373204e-08 
 2.80000000e+00  2.80000000e+00  1.57619046e-08 
 2.81000000e+00  2.81000000e+00  1.56872037e-08 
 2.82000000e+00  2.82000000e+00  1.56132074e-08 
 2.83000000e+00  2.83000000e+00  1.55399060e-08 
 2.84000000e+00  2.84000000e+00  1.54672896e-08 
 2.85000000e+00  2.85000000e+00  1.53953487e-08 
 2.86000000e+00  2.86000000e+00  1.53240740e-08 
 2.87000000e+00  2.87000000e+00  1.52534561e-08 
 2.88000000e+00  2.88000000e+00  1.51834861e-08 
 2.89000000e+00  2.89000000e+00  1.51141551e-08 
 2.90000000e+00  2.90000000e+00  1.50454544e-08 
 2.91000000e+00  2.91000000e+00  1.49773755e-08 
 2.92000000e+00  2.92000000e+00  1.49099098e-08 
 2.93000000e+00  2.93000000e+00  1.48430492e-08 
 2.94000000e+00  2.94000000e+00  1.47767856e-08 
 2.95000000e+00  2.95000000e+00  1.47111110e-08 
 2.96000000e+00  2.96000000e+00  1.46460176e-08 
 2.97000000e+00  2.97000000e+00  1.45814977e-08 
 2.98000000e+00  2.98000000e+00  1.45175437e-08 
 2.99000000e+00  2.99000000e+00  1.44541484e-08 
 3.00000000e+00  3.00000000e+00  1.43913042e-08 
 3.01000000e+00  3.01000000e+00  1.43290042e-08 
 3.02000000e+00  3.02000000e+00  1.42672413e-08 
 3.03000000e+00  3.03000000e+00  1.42060085e-08 
